Item Name,Item ID,Item meta,Has NBT,Display Name
minecraft:stone,1,0,false,Stone
minecraft:grass,2,0,false,Grass Block
minecraft:dirt,3,0,false,Dirt
minecraft:dirt,3,1,false,Coarse Dirt
minecraft:dirt,3,2,false,Podzol
minecraft:cobblestone,4,0,false,Cobblestone
minecraft:planks,5,0,false,Oak Wood Planks
minecraft:planks,5,1,false,Spruce Wood Planks
minecraft:planks,5,2,false,Birch Wood Planks
minecraft:planks,5,3,false,Jungle Wood Planks
minecraft:planks,5,4,false,Acacia Wood Planks
minecraft:planks,5,5,false,Dark Oak Wood Planks
minecraft:sapling,6,0,false,Oak Sapling
minecraft:sapling,6,1,false,Spruce Sapling
minecraft:sapling,6,2,false,Birch Sapling
minecraft:sapling,6,3,false,Jungle Sapling
minecraft:sapling,6,4,false,Acacia Sapling
minecraft:sapling,6,5,false,Dark Oak Sapling
minecraft:bedrock,7,0,false,Bedrock
minecraft:flowing_water,8,0,false,Water
minecraft:flowing_lava,10,0,false,Lava
minecraft:sand,12,0,false,Sand
minecraft:sand,12,1,false,Red Sand
minecraft:gravel,13,0,false,Gravel
minecraft:gold_ore,14,0,false,Gold Ore
minecraft:iron_ore,15,0,false,Iron Ore
minecraft:coal_ore,16,0,false,Coal Ore
minecraft:log,17,0,false,Oak Wood
minecraft:log,17,1,false,Spruce Wood
minecraft:log,17,2,false,Birch Wood
minecraft:log,17,3,false,Jungle Wood
minecraft:leaves,18,0,false,Oak Leaves
minecraft:leaves,18,1,false,Spruce Leaves
minecraft:leaves,18,2,false,Birch Leaves
minecraft:leaves,18,3,false,Jungle Leaves
minecraft:sponge,19,0,false,Sponge
minecraft:glass,20,0,false,Glass
minecraft:lapis_ore,21,0,false,Lapis Lazuli Ore
minecraft:lapis_block,22,0,false,Lapis Lazuli Block
minecraft:dispenser,23,0,false,Dispenser
minecraft:sandstone,24,0,false,Sandstone
minecraft:sandstone,24,1,false,Chiseled Sandstone
minecraft:sandstone,24,2,false,Smooth Sandstone
