ID,Provider ID,Provider Class Name
-112,-112,com.rwtema.extrautils.worldgen.endoftime.WorldProviderEndOfTime
-100,-100,com.rwtema.extrautils.worldgen.Underdark.WorldProviderUnderdark
-42,-42,thaumcraft.common.lib.world.dim.WorldProviderOuter
-39,-39,com.emoniph.witchery.dimension.WorldProviderMirror
-38,-38,com.emoniph.witchery.dimension.WorldProviderTorment
-37,-37,com.emoniph.witchery.dimension.WorldProviderDreamWorld
-30,-30,micdoodle8.mods.galacticraft.planets.asteroids.dimension.WorldProviderAsteroids
-29,-29,micdoodle8.mods.galacticraft.planets.mars.dimension.WorldProviderMars
-28,-28,micdoodle8.mods.galacticraft.core.dimension.WorldProviderMoon
-19,-19,thaumic.tinkerer.common.dim.WorldProviderBedrock
-1,-1,net.minecraft.world.WorldProviderHell
0,0,net.minecraft.world.WorldProviderSurface
1,1,chylex.hee.world.WorldProviderHardcoreEnd
2,2,lumien.randomthings.Handler.Spectre.WorldProviderSpectre
3,3,org.dave.CompactMachines.handler.machinedimension.WorldProviderMachines
6,6,aroma1997.world.dimension.WorldProviderMiner
7,-777,twilightforest.world.WorldProviderTwilightForest
42,42,tombenpotter.sanguimancy.world.WorldProviderSoulNetworkDimension
66,66,erebus.world.WorldProviderErebus
