Class Name,Registered Name
ExAstris.Block.TileEntity.TileEntityBarrelThaumium,tile.exastris.barrel_thaumium
ExAstris.Block.TileEntity.TileEntityHammerAutomatic,exastris.hammer_automatic
ExAstris.Block.TileEntity.TileEntitySieveAutomatic,exastris.sieve_automatic
T145.magistics.common.tiles.TileChestHungry,magistics:TileChestHungry
T145.magistics.common.tiles.TileChestHungryEnder,magistics:TileChestHungryEnder
T145.magistics.common.tiles.TileChestHungryMetal,magistics:TileChestHungryMetal
T145.magistics.common.tiles.TileSortingChestHungry,magistics:TileSortingChestHungry
T145.magistics.common.tiles.TileSortingChestHungryMetal,magistics:TileSortingChestHungryMetal
WayofTime.alchemicalWizardry.common.demonVillage.tileEntity.TEDemonChest,containerDemonChest
WayofTime.alchemicalWizardry.common.demonVillage.tileEntity.TEDemonPortal,containerDemonPortal
WayofTime.alchemicalWizardry.common.tileEntity.TEAlchemicCalcinator,containerAlchemicCalcinator
WayofTime.alchemicalWizardry.common.tileEntity.TEAltar,containerAltar
WayofTime.alchemicalWizardry.common.tileEntity.TEBellJar,containerBellJar
WayofTime.alchemicalWizardry.common.tileEntity.TEConduit,containerConduit
WayofTime.alchemicalWizardry.common.tileEntity.TEHomHeart,containerHomHeart
WayofTime.alchemicalWizardry.common.tileEntity.TEMasterStone,containerMasterStone
WayofTime.alchemicalWizardry.common.tileEntity.TEMimicBlock,containerMimic
WayofTime.alchemicalWizardry.common.tileEntity.TEOrientable,containerOrientable
WayofTime.alchemicalWizardry.common.tileEntity.TEPedestal,containerPedestal
WayofTime.alchemicalWizardry.common.tileEntity.TEPlinth,containerPlinth
WayofTime.alchemicalWizardry.common.tileEntity.TEReagentConduit,containerReagentConduit
WayofTime.alchemicalWizardry.common.tileEntity.TESchematicSaver,containerSchematicSaver
WayofTime.alchemicalWizardry.common.tileEntity.TESocket,containerSocket
WayofTime.alchemicalWizardry.common.tileEntity.TESpectralBlock,containerSpectralBlock
WayofTime.alchemicalWizardry.common.tileEntity.TESpectralContainer,spectralContainerTileEntity
WayofTime.alchemicalWizardry.common.tileEntity.TESpellEffectBlock,containerSpellEffectBlock
WayofTime.alchemicalWizardry.common.tileEntity.TESpellEnhancementBlock,containerSpellEnhancementBlock
WayofTime.alchemicalWizardry.common.tileEntity.TESpellModifierBlock,containerSpellModifierBlock
WayofTime.alchemicalWizardry.common.tileEntity.TESpellParadigmBlock,containerSpellParadigmBlock
WayofTime.alchemicalWizardry.common.tileEntity.TETeleposer,containerTeleposer
WayofTime.alchemicalWizardry.common.tileEntity.TEWritingTable,containerWritingTable
advsolar.common.tiles.TileEntityAdvancedSolarPanel,Advanced Solar Panel
advsolar.common.tiles.TileEntityHybridSolarPanel,Hybrid Solar Panel
advsolar.common.tiles.TileEntityMolecularTransformer,Molecular Transformer
advsolar.common.tiles.TileEntityQGenerator,Quantum Generator
advsolar.common.tiles.TileEntityQuantumSolarPanel,Quantum Solar Panel
advsolar.common.tiles.TileEntityUltimateSolarPanel,Ultimate Hybrid Solar Panel
appeng.debug.TileChunkLoader,BlockChunkloader
appeng.debug.TileCubeGenerator,BlockCubeGenerator
appeng.debug.TileItemGen,BlockItemGen
appeng.debug.TilePhantomNode,BlockPhantomNode
appeng.parts.layers.LayerIPipeConnection_TileCableBus,BlockCableBus
appeng.parts.layers.LayerIPipeConnection_TileCableBusTESR,ClientOnly_TESR_CableBus
appeng.tile.crafting.TileCraftingMonitorTile,BlockCraftingMonitor
appeng.tile.crafting.TileCraftingStorageTile,BlockCraftingStorage
appeng.tile.crafting.TileCraftingTile,BlockCraftingUnit
appeng.tile.crafting.TileMolecularAssembler,BlockMolecularAssembler
appeng.tile.grindstone.TileCrank,BlockCrank
appeng.tile.grindstone.TileGrinder,BlockGrinder
appeng.tile.misc.TileCellWorkbench,BlockCellWorkbench
appeng.tile.misc.TileCharger,BlockCharger
appeng.tile.misc.TileCondenser,BlockCondenser
appeng.tile.misc.TileInscriber,BlockInscriber
appeng.tile.misc.TileInterface,BlockInterface
appeng.tile.misc.TileLightDetector,BlockLightDetector
appeng.tile.misc.TilePaint,BlockPaint
appeng.tile.misc.TileQuartzGrowthAccelerator,BlockQuartzGrowthAccelerator
appeng.tile.misc.TileSecurity,BlockSecurity
appeng.tile.misc.TileSkyCompass,BlockSkyCompass
appeng.tile.misc.TileVibrationChamber,BlockVibrationChamber
appeng.tile.networking.TileController,BlockController
appeng.tile.networking.TileCreativeEnergyCell,BlockCreativeEnergyCell
appeng.tile.networking.TileDenseEnergyCell,BlockDenseEnergyCell
appeng.tile.networking.TileEnergyAcceptor,BlockEnergyAcceptor
appeng.tile.networking.TileEnergyCell,BlockEnergyCell
appeng.tile.networking.TileWireless,BlockWireless
appeng.tile.qnb.TileQuantumBridge,BlockQuantumLinkChamber
appeng.tile.spatial.TileSpatialIOPort,BlockSpatialIOPort
appeng.tile.spatial.TileSpatialPylon,BlockSpatialPylon
appeng.tile.storage.TileChest,BlockChest
appeng.tile.storage.TileDrive,BlockDrive
appeng.tile.storage.TileIOPort,BlockIOPort
appeng.tile.storage.TileSkyChest,BlockSkyChest
binnie.botany.flower.TileEntityFlower,botany.tile.flower
binnie.core.block.TileEntityMetadata,binnie.tile.metadata
binnie.core.machines.TileEntityMachine,binnie.tile.machine
binnie.extrabees.apiary.TileExtraBeeAlveary,extrabees.tile.alveary
binnie.extratrees.machines.TileEntityNursery,binnie.tile.nursery
buildcraft.builders.TileArchitect,net.minecraft.src.builders.TileTemplate
buildcraft.builders.TileBlueprintLibrary,net.minecraft.src.builders.TileBlueprintLibrary
buildcraft.builders.TileBuilder,net.minecraft.src.builders.TileBuilder
buildcraft.builders.TileConstructionMarker,net.minecraft.src.builders.TileConstructionMarker
buildcraft.builders.TileFiller,Filler
buildcraft.builders.TileMarker,Marker
buildcraft.builders.TilePathMarker,net.minecraft.src.builders.TilePathMarker
buildcraft.commander.TileRequester,net.minecraft.src.buildcraft.commander.TileRequester
buildcraft.commander.TileZonePlan,net.minecraft.src.buildcraft.commander.TileZonePlan
buildcraft.energy.TileEngineCreative,net.minecraft.src.buildcraft.energy.TileEngineCreative
buildcraft.energy.TileEngineIron,net.minecraft.src.buildcraft.energy.TileEngineIron
buildcraft.energy.TileEngineStone,net.minecraft.src.buildcraft.energy.TileEngineStone
buildcraft.energy.TileEngineWood,net.minecraft.src.buildcraft.energy.TileEngineWood
buildcraft.factory.TileAutoWorkbench,AutoWorkbench
buildcraft.factory.TileFloodGate,net.minecraft.src.buildcraft.factory.TileFloodGate
buildcraft.factory.TileHopper,net.minecraft.src.buildcraft.factory.TileHopper
buildcraft.factory.TileMiningWellCompat,MiningWell
buildcraft.factory.TilePump,net.minecraft.src.buildcraft.factory.TilePump
buildcraft.factory.TileQuarryCompat,Machine
buildcraft.factory.TileRefinery,net.minecraft.src.buildcraft.factory.Refinery
buildcraft.factory.TileTank,net.minecraft.src.buildcraft.factory.TileTank
buildcraft.silicon.TileAdvancedCraftingTable,net.minecraft.src.buildcraft.factory.TileAssemblyAdvancedWorkbench
buildcraft.silicon.TileAssemblyTable,net.minecraft.src.buildcraft.factory.TileAssemblyTable
buildcraft.silicon.TileChargingTable,net.minecraft.src.buildcraft.factory.TileChargingTable
buildcraft.silicon.TileIntegrationTable,net.minecraft.src.buildcraft.factory.TileIntegrationTable
buildcraft.silicon.TileLaser,net.minecraft.src.buildcraft.factory.TileLaser
buildcraft.silicon.TileProgrammingTable,net.minecraft.src.buildcraft.factory.TileProgrammingTable
buildcraft.transport.TileFilteredBuffer,net.minecraft.src.buildcraft.transport.TileFilteredBuffer
buildcraft.transport.TileGenericPipeCompat,net.minecraft.src.buildcraft.transport.GenericPipe
buildcraftAdditions.tileEntities.TileBCKinesisPipeStonePlacer,BCKinesisPipeStonePlacer
buildcraftAdditions.tileEntities.TileBCKinesisPipeWoodPlacer,BCKinesisPipeWoodPlacer
buildcraftAdditions.tileEntities.TileBackpackStand,TileBackpackStand
buildcraftAdditions.tileEntities.TileBasicCoil,TileBasicCoil
buildcraftAdditions.tileEntities.TileBasicDuster,TileBasicDuster
