ID,Unlocalised name,Class
1,potion.moveSpeed,net.minecraft.potion.Potion
2,potion.moveSlowdown,net.minecraft.potion.Potion
3,potion.digSpeed,net.minecraft.potion.Potion
4,potion.digSlowDown,net.minecraft.potion.Potion
5,potion.damageBoost,net.minecraft.potion.PotionAttackDamage
6,potion.heal,net.minecraft.potion.PotionHealth
7,potion.harm,net.minecraft.potion.PotionHealth
8,potion.jump,net.minecraft.potion.Potion
9,potion.confusion,net.minecraft.potion.Potion
10,potion.regeneration,net.minecraft.potion.Potion
11,potion.resistance,net.minecraft.potion.Potion
12,potion.fireResistance,net.minecraft.potion.Potion
13,potion.waterBreathing,net.minecraft.potion.Potion
14,potion.invisibility,net.minecraft.potion.Potion
15,potion.blindness,net.minecraft.potion.Potion
16,potion.nightVision,net.minecraft.potion.Potion
17,potion.hunger,net.minecraft.potion.Potion
18,potion.weakness,net.minecraft.potion.PotionAttackDamage
19,potion.poison,net.minecraft.potion.Potion
20,potion.wither,net.minecraft.potion.Potion
21,potion.healthBoost,net.minecraft.potion.PotionHealthBoost
22,potion.absorption,net.minecraft.potion.PotionAbsoption
23,potion.saturation,net.minecraft.potion.PotionHealth
24,ic2.potion.radiation,ic2.core.IC2Potion
25,potion.wellfedPotion,iguanaman.hungeroverhaul.potion.PotionWellFed
26,potion.fluxtaint,thaumcraft.api.potions.PotionFluxTaint
27,potion.visexhaust,thaumcraft.api.potions.PotionVisExhaust
28,potion.infvisexhaust,thaumcraft.common.lib.potions.PotionInfectiousVisExhaust
29,potion.unhunger,thaumcraft.common.lib.potions.PotionUnnaturalHunger
30,potion.warpward,thaumcraft.common.lib.potions.PotionWarpWard
31,potion.deathgaze,thaumcraft.common.lib.potions.PotionDeathGaze
32,witchery:potion.paralysed,com.emoniph.witchery.brewing.potions.PotionParalysis
33,witchery:potion.wrappedinvine,com.emoniph.witchery.brewing.potions.PotionWrappedInVine
34,witchery:potion.spiked,com.emoniph.witchery.brewing.potions.PotionSpiked
35,witchery:potion.sprouting,com.emoniph.witchery.brewing.potions.PotionSprouting
36,witchery:potion.grotesque,com.emoniph.witchery.brewing.potions.PotionGrotesque
37,witchery:potion.love,com.emoniph.witchery.brewing.potions.PotionLove
38,witchery:potion.allergysun,com.emoniph.witchery.brewing.potions.PotionSunAllergy
39,witchery:potion.chilled,com.emoniph.witchery.brewing.potions.PotionChilled
40,potion.brewcraft.angel,redgear.brewcraft.effects.EffectAngel
41,potion.brewcraft.flight,redgear.brewcraft.effects.EffectFlight
42,potion.brewcraft.creeper,redgear.brewcraft.effects.EffectCreeper
43,potion.brewcraft.immunity,redgear.brewcraft.effects.EffectImmunity
44,potion.brewcraft.frozen,redgear.brewcraft.effects.EffectFrozen
45,potion.brewcraft.fireproof,redgear.brewcraft.effects.EffectFireproof
46,potion.brewcraft.flame,redgear.brewcraft.effects.EffectEternalFlame
47,potion.brewcraft.fireEater,redgear.brewcraft.effects.EffectFireEater
48,potion.poison,redgear.brewcraft.effects.EffectVanillaThree
49,potion.wither,redgear.brewcraft.effects.EffectVanillaThree
50,potion.regeneration,redgear.brewcraft.effects.EffectVanillaThree
51,witchery:potion.overheating,com.emoniph.witchery.brewing.potions.PotionOverheating
52,witchery:potion.wakingnightmare,com.emoniph.witchery.brewing.potions.PotionWakingNightmare
53,witchery:potion.queasy,com.emoniph.witchery.brewing.potions.PotionQueasy
54,witchery:potion.swimming,com.emoniph.witchery.brewing.potions.PotionSwimming
55,witchery:potion.resizing,com.emoniph.witchery.brewing.potions.PotionResizing
56,witchery:potion.colorful,com.emoniph.witchery.brewing.potions.PotionColorful
57,witchery:potion.enderinhibition,com.emoniph.witchery.brewing.potions.PotionEnderInhibition
58,witchery:potion.illfitting,com.emoniph.witchery.brewing.potions.PotionIllFitting
59,witchery:potion.volatility,com.emoniph.witchery.brewing.potions.PotionVolatility
60,witchery:potion.enslaved,com.emoniph.witchery.brewing.potions.PotionEnslaved
61,witchery:potion.mortalcoil,com.emoniph.witchery.brewing.potions.PotionMortalCoil
62,witchery:potion.absorbmagic,com.emoniph.witchery.brewing.potions.PotionAbsorbMagic
63,witchery:potion.poisonweapons,com.emoniph.witchery.brewing.potions.PotionPoisonWeapons
64,witchery:potion.reflectprojectiles,com.emoniph.witchery.brewing.potions.PotionReflectProjectiles
65,witchery:potion.reflectdamage,com.emoniph.witchery.brewing.potions.PotionReflectDamage
66,witchery:potion.attractprojectiles,com.emoniph.witchery.brewing.potions.PotionAttractProjectiles
67,witchery:potion.repellattacker,com.emoniph.witchery.brewing.potions.PotionRepellAttacker
68,witchery:potion.stoutbelly,com.emoniph.witchery.brewing.potions.PotionStoutBelly
69,witchery:potion.feelnopain,com.emoniph.witchery.brewing.potions.PotionFeelNoPain
70,potion.blood_seal,fox.spiteful.forbidden.potions.PotionBloodSeal
71,witchery:potion.gasmask,com.emoniph.witchery.brewing.potions.PotionGasMask
72,witchery:potion.diseased,com.emoniph.witchery.brewing.potions.PotionDiseased
73,witchery:potion.fortune,com.emoniph.witchery.brewing.potions.PotionFortune
74,witchery:potion.worship,com.emoniph.witchery.brewing.potions.PotionWorship
75,witchery:potion.keepeffects,com.emoniph.witchery.brewing.potions.PotionKeepEffectsOnDeath
76,witchery:potion.wolfsbane,com.emoniph.witchery.brewing.potions.PotionBase
77,potion.blurred,thaumcraft.common.lib.potions.PotionBlurredVision
78,potion.sunscorned,thaumcraft.common.lib.potions.PotionSunScorned
79,potion.thaumarhia,thaumcraft.common.lib.potions.PotionThaumarhia
80,imbue.poison,lumien.randomthings.Potions.PotionImbue
81,imbue.weakness,lumien.randomthings.Potions.PotionImbue
82,imbue.wither,lumien.randomthings.Potions.PotionImbue
83,imbue.experience,lumien.randomthings.Potions.PotionImbue
84,imbue.fire,lumien.randomthings.Potions.PotionImbue
85,imbue.spectre,lumien.randomthings.Potions.PotionImbue
86,Fire Imbued,thaumic.tinkerer.common.potion.DummyPotions
87,Wated Imbued,thaumic.tinkerer.common.potion.DummyPotions
89,Earth Imbued,thaumic.tinkerer.common.potion.DummyPotions
90,Air Imbued,thaumic.tinkerer.common.potion.DummyPotions
91,botania.potion.soulCross,vazkii.botania.common.brew.potion.PotionSoulCross
92,botania.potion.featherFeet,vazkii.botania.common.brew.potion.PotionFeatherfeet
93,Red Curse,pixlepix.auracascade.potions.PotionRedCurse
94,Orange Curse,pixlepix.auracascade.potions.PotionOrangeCurse
95,Yellow Curse,pixlepix.auracascade.potions.PotionYellowCurse
96,Green Curse,pixlepix.auracascade.potions.PotionGreenCurse
97,Blue Curse,pixlepix.auracascade.potions.PotionBlueCurse
98,Violet Curse,pixlepix.auracascade.potions.PotionVioletCurse
100,AddHeart,tombenpotter.sanguimancy.potion.PotionAddHeart
101,RemoveHeart,tombenpotter.sanguimancy.potion.PotionRemoveHeart
102,Whirlwind,WayofTime.alchemicalWizardry.common.potion.PotionProjectileProtect
103,Inhibit,WayofTime.alchemicalWizardry.common.potion.PotionInhibit
104,Flight,WayofTime.alchemicalWizardry.common.potion.PotionFlight
105,Reciprocation,WayofTime.alchemicalWizardry.common.potion.PotionReciprocation
106,Flame Cloak,WayofTime.alchemicalWizardry.common.potion.PotionFlameCloak
107,Ice Cloak,WayofTime.alchemicalWizardry.common.potion.PotionIceCloak
108,Heavy Heart,WayofTime.alchemicalWizardry.common.potion.PotionHeavyHeart
109,Fire Fuse,WayofTime.alchemicalWizardry.common.potion.PotionFireFuse
110,grc.potion.tipsy,growthcraft.cellar.potion.PotionCellar
111,Soul Fray,WayofTime.alchemicalWizardry.common.potion.PotionSoulFray
112,Soul Harden,WayofTime.alchemicalWizardry.common.potion.PotionSoulHarden
113,Deafness,WayofTime.alchemicalWizardry.common.potion.PotionDeaf
114,Demon Cloaking,WayofTime.alchemicalWizardry.common.potion.PotionDemonCloak
115,Amphibian,WayofTime.alchemicalWizardry.common.potion.PotionAmphibian
