Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
acid,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@64,Acid Can,BinnieCore:containerCan
acid,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@64,Acid Cylinder,BinnieCore:containerCylinder
acid,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@64,Acid Capsule,BinnieCore:containerRefractory
acid,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@64,Acid Bucket,BinnieCore:containerBucket
acid,2000,1xitem.capsule.magic@0,Empty Magic Capsule,MagicBees:capsule.magic,1xitem.capsule.magic@12,Acid Magic Capsule,MagicBees:capsule.magic
acid,8000,1xitem.capsule.void@0,Empty Void Capsule,MagicBees:capsule.void,1xitem.capsule.void@12,Acid Void Capsule,MagicBees:capsule.void
acid,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@64,Acid Capsule,BinnieCore:containerCapsule
acid,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@64,Acid Bottle,BinnieCore:containerGlass
adamantine.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.metallurgy.empty.bucket@12,Molten Adamantine Bucket,Metallurgy:molten.bucket
alduorite.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.metallurgy.empty.bucket@28,Molten Alduorite Bucket,Metallurgy:molten.bucket
aluminiumbrass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@8,Molten Aluminum Brass Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
aluminiumbrass.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@8,Molten Aluminum Brass Bucket,TConstruct:buckets
aluminum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@4,Molten Aluminum Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
aluminum.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@4,Molten Aluminum Bucket,TConstruct:buckets
alumite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@10,Molten Alumite Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
alumite.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@10,Molten Alumite Bucket,TConstruct:buckets
amordrine.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.metallurgy.empty.bucket@29,Molten Amordrine Bucket,Metallurgy:molten.bucket
angmallen.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.metallurgy.empty.bucket@1,Molten Angmallen Bucket,Metallurgy:molten.bucket
antivenom,1000,1xitem.erebus.bambucket@0,Bambucket,erebus:bambucket,1xitem.erebus.bambucketAntiVenom@0,Anti-Venom Bambucket,erebus:bambucketAntiVenom
