Ore Name,ItemStack,Item ID,Display Name,Wildcard
Tubes$anyDye,1xitem.dyePowder@0,minecraft:dye,Ink Sac,false
Tubes$anyDye,1xitem.artifice.dye@1,Artifice:item.artifice.dye,Midnight Black,false
Tubes$anyDye,1xitem.graphite@0,asietweaks:graphite,Graphite,false
Tubes$anyDye,1xitem.dye@15,Botania:dye,Floral Black Powder,false
Tubes$anyDye,1xitem.FMResource@1,ForbiddenMagic:FMResource,Shadow Ink,false
Tubes$anyDye,1xitem.misc@24,ExtraBees:misc,Black Dye,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@10,gendustry:HoneyDrop,Black Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@15,ProjRed|Exploration:projectred.exploration.lilyseed,Black Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@0,erebus:flower,Black Petal,false
Tubes$anyDye,1xitem.dyePowder@1,minecraft:dye,Rose Red,false
Tubes$anyDye,1xitem.dye@14,Botania:dye,Floral Red Powder,false
Tubes$anyDye,1xitem.misc@19,ExtraBees:misc,Red Dye,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@11,gendustry:HoneyDrop,Red Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@14,ProjRed|Exploration:projectred.exploration.lilyseed,Red Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@1,erebus:flower,Red Petal,false
Tubes$anyDye,1xitem.dyePowder@2,minecraft:dye,Cactus Green,false
Tubes$anyDye,1xitem.dye@13,Botania:dye,Floral Green Powder,false
Tubes$anyDye,1xitem.misc@22,ExtraBees:misc,Green Dye,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@12,gendustry:HoneyDrop,Green Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@13,ProjRed|Exploration:projectred.exploration.lilyseed,Green Deviating Lily seed,false
Tubes$anyDye,1xitem.dyePowder@3,minecraft:dye,Cocoa Beans,false
Tubes$anyDye,1xitem.mfr.fertilizer@0,MineFactoryReloaded:fertilizer,Industrial Fertilizer,false
Tubes$anyDye,1xitem.artifice.dye@2,Artifice:item.artifice.dye,Oak Brown,false
Tubes$anyDye,1xitem.dye@12,Botania:dye,Floral Brown Powder,false
Tubes$anyDye,1xitem.misc@25,ExtraBees:misc,Brown Dye,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@13,gendustry:HoneyDrop,Brown Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@12,ProjRed|Exploration:projectred.exploration.lilyseed,Brown Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@2,erebus:flower,Brown Petal,false
Tubes$anyDye,1xitem.dyePowder@4,minecraft:dye,Lapis Lazuli,false
Tubes$anyDye,1xitem.barleyFood@8,Natura:barleyFood,Blue Dye,false
Tubes$anyDye,1xitem.artifice.dye@0,Artifice:item.artifice.dye,Sea Blue,false
Tubes$anyDye,1xitem.dye@11,Botania:dye,Floral Blue Powder,false
Tubes$anyDye,1xitem.misc@21,ExtraBees:misc,Blue Dye,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@14,gendustry:HoneyDrop,Blue Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@11,ProjRed|Exploration:projectred.exploration.lilyseed,Blue Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@3,erebus:flower,Blue Petal,false
Tubes$anyDye,1xitem.dyePowder@5,minecraft:dye,Purple Dye,false
Tubes$anyDye,1xitem.dye@10,Botania:dye,Floral Purple Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@15,gendustry:HoneyDrop,Purple Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@10,ProjRed|Exploration:projectred.exploration.lilyseed,Purple Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@4,erebus:flower,Purple Petal,false
Tubes$anyDye,1xitem.dyePowder@6,minecraft:dye,Cyan Dye,false
Tubes$anyDye,1xitem.dye@9,Botania:dye,Floral Cyan Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@16,gendustry:HoneyDrop,Cyan Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@9,ProjRed|Exploration:projectred.exploration.lilyseed,Cyan Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@5,erebus:flower,Cyan Petal,false
Tubes$anyDye,1xitem.dyePowder@7,minecraft:dye,Light Gray Dye,false
Tubes$anyDye,1xitem.dye@8,Botania:dye,Floral Light Gray Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@17,gendustry:HoneyDrop,Light Gray Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@8,ProjRed|Exploration:projectred.exploration.lilyseed,Light Grey Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@6,erebus:flower,Light Grey Petal,false
Tubes$anyDye,1xitem.dyePowder@8,minecraft:dye,Gray Dye,false
Tubes$anyDye,1xitem.dye@7,Botania:dye,Floral Gray Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@18,gendustry:HoneyDrop,Gray Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@7,ProjRed|Exploration:projectred.exploration.lilyseed,Grey Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@7,erebus:flower,Grey Petal,false
Tubes$anyDye,1xitem.dyePowder@9,minecraft:dye,Pink Dye,false
Tubes$anyDye,1xitem.dye@6,Botania:dye,Floral Pink Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@19,gendustry:HoneyDrop,Pink Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@6,ProjRed|Exploration:projectred.exploration.lilyseed,Pink Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@8,erebus:flower,Pink Petal,false
Tubes$anyDye,1xitem.dyePowder@10,minecraft:dye,Lime Dye,false
Tubes$anyDye,1xitem.dye@5,Botania:dye,Floral Lime Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@20,gendustry:HoneyDrop,Lime Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@5,ProjRed|Exploration:projectred.exploration.lilyseed,Lime Deviating Lily seed,false
Tubes$anyDye,1xitem.dyePowder@11,minecraft:dye,Dandelion Yellow,false
Tubes$anyDye,1xitem.dye@4,Botania:dye,Floral Yellow Powder,false
Tubes$anyDye,1xitem.misc@20,ExtraBees:misc,Yellow Dye,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@21,gendustry:HoneyDrop,Yellow Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@4,ProjRed|Exploration:projectred.exploration.lilyseed,Yellow Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@9,erebus:flower,Yellow Petal,false
Tubes$anyDye,1xitem.dyePowder@12,minecraft:dye,Light Blue Dye,false
Tubes$anyDye,1xitem.dye@3,Botania:dye,Floral Light Blue Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@22,gendustry:HoneyDrop,Light Blue Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@3,ProjRed|Exploration:projectred.exploration.lilyseed,Light Blue Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@10,erebus:flower,Light Blue Petal,false
Tubes$anyDye,1xitem.dyePowder@13,minecraft:dye,Magenta Dye,false
Tubes$anyDye,1xitem.dye@2,Botania:dye,Floral Magenta Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@23,gendustry:HoneyDrop,Magenta Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@2,ProjRed|Exploration:projectred.exploration.lilyseed,Magenta Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@11,erebus:flower,Magenta Petal,false
Tubes$anyDye,1xitem.dyePowder@14,minecraft:dye,Orange Dye,false
Tubes$anyDye,1xitem.dye@1,Botania:dye,Floral Orange Powder,false
Tubes$anyDye,1xitem.gendustry.HoneyDrop@24,gendustry:HoneyDrop,Orange Colored Honey Drop,false
Tubes$anyDye,1xitem.projectred.exploration.lilyseed@1,ProjRed|Exploration:projectred.exploration.lilyseed,Orange Deviating Lily seed,false
Tubes$anyDye,1xtile.erebus.flower@12,erebus:flower,Orange Petal,false
Tubes$anyDye,1xitem.dyePowder@15,minecraft:dye,Bone Meal,false
